URL	
https://www.apartments.com/1440-beacon-brookline-ma/wqc416h/	"""https://www.apartments.com/1440-beacon-brookline-ma/wqc416h/"","
https://www.apartments.com/1443-beacon-brookline-ma/5c5j0gq/	"""https://www.apartments.com/1443-beacon-brookline-ma/5c5j0gq/"","
https://www.apartments.com/1459-1461-vfw-pky-west-roxbury-ma/jhs2vs5/	"""https://www.apartments.com/1459-1461-vfw-pky-west-roxbury-ma/jhs2vs5/"","
https://www.apartments.com/15-union-st-boston-ma-unit-fl1-id214/w9t726j/	"""https://www.apartments.com/15-union-st-boston-ma-unit-fl1-id214/w9t726j/"","
https://www.apartments.com/15-union-st-boston-ma-unit-fl2-id211/hxcc632/	"""https://www.apartments.com/15-union-st-boston-ma-unit-fl2-id211/hxcc632/"","
https://www.apartments.com/150-huntington-ave-boston-ma-unit-fl2-id410/de0ze0k/	"""https://www.apartments.com/150-huntington-ave-boston-ma-unit-fl2-id410/de0ze0k/"","
https://www.apartments.com/151-tremont-st-boston-ma-unit-7a/3yxtvme/	"""https://www.apartments.com/151-tremont-st-boston-ma-unit-7a/3yxtvme/"","
https://www.apartments.com/152-salem-st-boston-ma-unit-fl5-id624/2t9y699/	"""https://www.apartments.com/152-salem-st-boston-ma-unit-fl5-id624/2t9y699/"","
https://www.apartments.com/1550-on-the-charles-boston-ma/298fkz9/	"""https://www.apartments.com/1550-on-the-charles-boston-ma/298fkz9/"","
https://www.apartments.com/16-glenway-street-boston-ma/vbr1wcf/	"""https://www.apartments.com/16-glenway-street-boston-ma/vbr1wcf/"","
https://www.apartments.com/16-miner-st-boston-ma-unit-4011302946/37vc1bf/	"""https://www.apartments.com/16-miner-st-boston-ma-unit-4011302946/37vc1bf/"","
https://www.apartments.com/161-washington-st-boston-ma-unit-fl1-id323/0y5v573/	"""https://www.apartments.com/161-washington-st-boston-ma-unit-fl1-id323/0y5v573/"","
https://www.apartments.com/161-washington-st-boston-ma-unit-fl2-id847/cq68yfe/	"""https://www.apartments.com/161-washington-st-boston-ma-unit-fl2-id847/cq68yfe/"","
https://www.apartments.com/161-washington-st-boston-ma-unit-fl4-id321/2tg31d8/	"""https://www.apartments.com/161-washington-st-boston-ma-unit-fl4-id321/2tg31d8/"","
https://www.apartments.com/161-washington-st-boston-ma-unit-fl6-id326/8srl291/	"""https://www.apartments.com/161-washington-st-boston-ma-unit-fl6-id326/8srl291/"","
https://www.apartments.com/161-washington-st-boston-ma-unit-fl6-id327/wmhwqxj/	"""https://www.apartments.com/161-washington-st-boston-ma-unit-fl6-id327/wmhwqxj/"","
https://www.apartments.com/1661-washington-st-boston-ma/y6hn2er/	"""https://www.apartments.com/1661-washington-st-boston-ma/y6hn2er/"","
https://www.apartments.com/17-middle-st-boston-ma-unit-3/jvecb85/	"""https://www.apartments.com/17-middle-st-boston-ma-unit-3/jvecb85/"","
https://www.apartments.com/1700-dorchester-ave-boston-ma/z4k1whx/	"""https://www.apartments.com/1700-dorchester-ave-boston-ma/z4k1whx/"","
https://www.apartments.com/175-washington-st-boston-ma-unit-1211858366/jjbnd04/	"""https://www.apartments.com/175-washington-st-boston-ma-unit-1211858366/jjbnd04/"","
https://www.apartments.com/175-washington-st-boston-ma-unit-1620936378/67vkm8r/	"""https://www.apartments.com/175-washington-st-boston-ma-unit-1620936378/67vkm8r/"","
https://www.apartments.com/175-washington-st-boston-ma-unit-3-31011262178/mxkvfkl/	"""https://www.apartments.com/175-washington-st-boston-ma-unit-3-31011262178/mxkvfkl/"","
https://www.apartments.com/176-178-washington-ave-chelsea-ma/dnrlyll/	"""https://www.apartments.com/176-178-washington-ave-chelsea-ma/dnrlyll/"","
https://www.apartments.com/179-st-botolph-st-boston-ma-unit-fl3-id137/xt1qfen/	"""https://www.apartments.com/179-st-botolph-st-boston-ma-unit-fl3-id137/xt1qfen/"","
